Algorithm,DataType,ArraySize,Time_ms,CharComparisons
"A1m MergeSort (Adapted)","Random",100,0.06772,38941
"A1q TernaryQuickSort (Adapted)","Random",100,0.00145,750
"A1r MSD RadixSort (Adapted)","Random",100,0.01901,158
"A1rq MSD+QuickSort (Adapted)","Random",100,0.00837,171
"Standard MergeSort","Random",100,0.05812,38941
"Standard QuickSort","Random",100,0.00766,49455
"A1m MergeSort (Adapted)","ReverseSorted",100,0.05311,23165
"A1q TernaryQuickSort (Adapted)","ReverseSorted",100,0.00519,3039
"A1r MSD RadixSort (Adapted)","ReverseSorted",100,0.02104,178
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",100,0.00879,198
"Standard MergeSort","ReverseSorted",100,0.05005,23165
"Standard QuickSort","ReverseSorted",100,0.02613,365391
"A1m MergeSort (Adapted)","AlmostSorted",100,0.05613,35691
"A1q TernaryQuickSort (Adapted)","AlmostSorted",100,0.00190,1135
"A1r MSD RadixSort (Adapted)","AlmostSorted",100,0.01505,169
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",100,0.00678,195
"Standard MergeSort","AlmostSorted",100,0.05538,35691
"Standard QuickSort","AlmostSorted",100,0.01121,122809
"A1m MergeSort (Adapted)","CommonPrefix",100,0.05608,41474
"A1q TernaryQuickSort (Adapted)","CommonPrefix",100,0.00207,1207
"A1r MSD RadixSort (Adapted)","CommonPrefix",100,0.03057,676
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",100,0.03526,695
"Standard MergeSort","CommonPrefix",100,0.06408,41474
"Standard QuickSort","CommonPrefix",100,0.00822,42236
"A1m MergeSort (Adapted)","Random",200,0.15068,89267
"A1q TernaryQuickSort (Adapted)","Random",200,0.00305,1476
"A1r MSD RadixSort (Adapted)","Random",200,0.03889,385
"A1rq MSD+QuickSort (Adapted)","Random",200,0.01737,490
"Standard MergeSort","Random",200,0.12062,89267
"Standard QuickSort","Random",200,0.01392,112781
"A1m MergeSort (Adapted)","ReverseSorted",200,0.12458,55591
"A1q TernaryQuickSort (Adapted)","ReverseSorted",200,0.01348,8541
"A1r MSD RadixSort (Adapted)","ReverseSorted",200,0.04539,388
"A1rq MSD+QuickSort (Adapted)","ReverseSorted",200,0.01734,507
"Standard MergeSort","ReverseSorted",200,0.11695,55591
"Standard QuickSort","ReverseSorted",200,0.08896,1422440
"A1m MergeSort (Adapted)","AlmostSorted",200,0.12285,80810
"A1q TernaryQuickSort (Adapted)","AlmostSorted",200,0.00760,2397
"A1r MSD RadixSort (Adapted)","AlmostSorted",200,0.03563,387
"A1rq MSD+QuickSort (Adapted)","AlmostSorted",200,0.01488,502
"Standard MergeSort","AlmostSorted",200,0.16141,80810
"Standard QuickSort","AlmostSorted",200,0.04637,706157
"A1m MergeSort (Adapted)","CommonPrefix",200,0.13640,101808
"A1q TernaryQuickSort (Adapted)","CommonPrefix",200,0.00569,2910
"A1r MSD RadixSort (Adapted)","CommonPrefix",200,0.06137,1393
"A1rq MSD+QuickSort (Adapted)","CommonPrefix",200,0.03959,1497
"Standard MergeSort","CommonPrefix",200,0.14558,101808
"Standard QuickSort","CommonPrefix",200,0.01420,98561
"A1m MergeSort (Adapted)","Random",300,0.20347,169213
